Country,City/Town,Year,PM2.5,PM10,CO₂ emissions per capita,Renewables,pm25_normalized,pm10_normalized,co2_normalized,ren_normalized,risk_score,risk_category
China,Xuzhou,2016,60,118,6.9428844,11.113145,0.4,0.472,0.69428844,0.565012848682329,50.62602577364659,High Risk
China,Zhangjiagang,2014,60,91,7.187588,9.689675,0.4,0.364,0.7187588,0.6207436425135608,50.07004885027122,High Risk
India,Chandrapur,2016,60,109,1.7504745,6.369765,0.4,0.436,0.17504745,0.7507226513779872,43.23540202755974,Moderate Risk
South Africa,Hartebeespoort,2014,60,119,8.663356,0.81018883,0.4,0.476,0.8663356,0.9683876484058835,62.214464968117674,High Risk
China,Baoji,2016,59,111,6.9428844,11.113145,0.3933333333333333,0.444,0.69428844,0.565012848682329,49.799359106979914,Moderate Risk
China,Chuzhou,2016,59,77,6.9428844,11.113145,0.3933333333333333,0.308,0.69428844,0.565012848682329,47.079359106979915,Moderate Risk
China,Tongchuan,2016,59,104,6.9428844,11.113145,0.3933333333333333,0.416,0.69428844,0.565012848682329,49.23935910697992,Moderate Risk
China,Bozhou,2016,58,83,6.9428844,11.113145,0.38666666666666666,0.332,0.69428844,0.565012848682329,47.29269244031325,Moderate Risk
China,Jingmen,2016,58,99,6.9428844,11.113145,0.38666666666666666,0.396,0.69428844,0.565012848682329,48.57269244031325,Moderate Risk
China,Korla,2014,58,87,7.187588,9.689675,0.38666666666666666,0.348,0.7187588,0.6207436425135608,49.21671551693789,Moderate Risk
China,Lin'an,2014,58,87,7.187588,9.689675,0.38666666666666666,0.348,0.7187588,0.6207436425135608,49.21671551693789,Moderate Risk
China,Pingdu,2014,58,88,7.187588,9.689675,0.38666666666666666,0.352,0.7187588,0.6207436425135608,49.29671551693789,Moderate Risk
China,Wafangdian,2014,58,88,7.187588,9.689675,0.38666666666666666,0.352,0.7187588,0.6207436425135608,49.29671551693789,Moderate Risk
China,Xinyang,2016,58,96,6.9428844,11.113145,0.38666666666666666,0.384,0.69428844,0.565012848682329,48.33269244031325,Moderate Risk
China,Yibin,2015,58,82,7.0609546,10.27758,0.38666666666666666,0.328,0.70609546,0.5977263591515298,48.10310304969726,Moderate Risk
China,Yiwu,2014,58,88,7.187588,9.689675,0.38666666666666666,0.352,0.7187588,0.6207436425135608,49.29671551693789,Moderate Risk
China,Zhuji,2014,58,88,7.187588,9.689675,0.38666666666666666,0.352,0.7187588,0.6207436425135608,49.29671551693789,Moderate Risk
Iran,Ahvaz,2016,58,132,7.6919622,1.3443363,0.38666666666666666,0.528,0.76919622,0.9474750457335097,60.36009198133686,High Risk
Saudi Arabia,Jubail,2016,58,129,20.873049,0.0036253089,0.38666666666666666,0.516,1.0,0.9999657113831268,65.78598089432921,High Risk
Bangladesh,Dhaka,2016,57,104,0.5084272,0.7402721,0.38,0.416,0.050842719999999994,0.971124983836194,43.95935407672388,Moderate Risk
China,Hefei,2016,57,83,6.9428844,11.113145,0.38,0.332,0.69428844,0.565012848682329,47.02602577364659,Moderate Risk
China,Huangshi,2016,57,89,6.9428844,11.113145,0.38,0.356,0.69428844,0.565012848682329,47.506025773646584,Moderate Risk
China,Maanshan,2014,57,87,7.187588,9.689675,0.38,0.348,0.7187588,0.6207436425135608,48.95004885027122,Moderate Risk
China,Nanchong,2014,57,86,7.187588,9.689675,0.38,0.344,0.7187588,0.6207436425135608,48.87004885027122,Moderate Risk
China,Wuhan,2016,57,92,6.9428844,11.113145,0.38,0.368,0.69428844,0.565012848682329,47.746025773646586,Moderate Risk
China,Changde,2016,56,80,6.9428844,11.113145,0.37333333333333335,0.32,0.69428844,0.565012848682329,46.51935910697992,Moderate Risk
China,Dazhou,2016,56,86,6.9428844,11.113145,0.37333333333333335,0.344,0.69428844,0.565012848682329,46.999359106979924,Moderate Risk
China,Huainan,2016,56,85,6.9428844,11.113145,0.37333333333333335,0.34,0.69428844,0.565012848682329,46.91935910697992,Moderate Risk
